epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_loss_causal,test_loss_diff,test_loss_kl,test_loss_recon,test_loss_task,test_macro_f1,train_acc,train_bal_acc,train_loss,train_loss_causal,train_loss_diff,train_loss_kl,train_loss_recon,train_loss_task,val/hallucination_acc,val/latent_drift_t0,val_acc,val_bal_acc,val_loss,val_loss_causal,val_loss_diff,val_loss_kl,val_loss_recon,val_loss_task,warmup/gamma_diff,warmup/gamma_kl,warmup/gamma_recon
,5e-05,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,,,0.25,,3.1072335243225098,0.0,1.1510109901428223,0.4810725152492523,0.0,3.1072335243225098,,,,,,,,,,,0.0,0.0,0.05000000074505806
,5e-05,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,19,,,,,,,,,,,,0.234375,,2.7686455249786377,0.0,1.1562498807907104,0.5080238580703735,0.0,2.7686455249786377,,,,,,,,,,,0.0,0.0,0.05000000074505806
,5e-05,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,29,,,,,,,,,,,,0.390625,,3.052196741104126,0.0,1.1552742719650269,0.5342187285423279,0.0,3.052196741104126,,,,,,,,,,,0.0,0.0,0.05000000074505806
0,,30,,,,,,,,,,,,,,,,,,,,,0.2234629988670349,0.6658711433410645,0.18637986481189728,2.7453012466430664,0.0,1.1443767547607422,0.5836846828460693,0.0,2.7453012466430664,,,
0,,30,,,,,,,,,,,,,0.14235126972198486,,,,,,,,,,,,,,,,,,,
,9.5e-05,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,39,,,,,,,,,,,,0.375,,3.0495715141296387,0.0,1.1536997556686401,0.5695009827613831,0.0,2.992621421813965,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,9.5e-05,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,49,,,,,,,,,,,,0.359375,,3.6220057010650635,0.0,1.1538233757019043,0.5702710747718811,0.0,3.56497859954834,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,9.5e-05,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,59,,,,,,,,,,,,0.4375,,2.919761896133423,0.0,1.1512246131896973,0.5487570762634277,0.0,2.8648862838745117,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
