epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_macro_f1,train_acc,train_loss,val_acc,val_bal_acc,val_loss
,0.0004945915311816171,499,,,,,,,,,,,
16,,499,,,,,,,1.0,0.4491693377494812,,,
,0.0004945915311816171,509,,,,,,,,,,,
16,,509,,,,,,,0.984375,0.4999676048755646,,,
,0.0004945915311816171,519,,,,,,,,,,,
16,,519,,,,,,,1.0,0.4537377953529358,,,
16,,526,,,,,,,,,0.6038185954093933,0.32354000210762024,1.4425328969955444
,0.0004926481922533092,529,,,,,,,,,,,
17,,529,,,,,,,1.0,0.44315919280052185,,,
,0.0004926481922533092,539,,,,,,,,,,,
17,,539,,,,,,,0.984375,0.47423166036605835,,,
,0.0004926481922533092,549,,,,,,,,,,,
17,,549,,,,,,,1.0,0.4615805745124817,,,
17,,557,,,,,,,,,0.6682577729225159,0.2951590120792389,1.3860989809036255
,0.0004904122697447341,559,,,,,,,,,,,
18,,559,,,,,,,0.984375,0.4766653776168823,,,
,0.0004904122697447341,569,,,,,,,,,,,
18,,569,,,,,,,1.0,0.43892979621887207,,,
,0.0004904122697447341,579,,,,,,,,,,,
18,,579,,,,,,,1.0,0.44250503182411194,,,
18,,588,,,,,,,,,0.6587111949920654,0.29331934452056885,1.3983848094940186
,0.00048788648778305075,589,,,,,,,,,,,
19,,589,,,,,,,1.0,0.4387844204902649,,,
,0.00048788648778305075,599,,,,,,,,,,,
19,,599,,,,,,,1.0,0.44787880778312683,,,
,0.00048788648778305075,609,,,,,,,,,,,
19,,609,,,,,,,1.0,0.4423604905605316,,,
,0.00048788648778305075,619,,,,,,,,,,,
19,,619,,,,,,,1.0,0.43606963753700256,,,
19,,619,,,,,,,,,0.6539379358291626,0.2490973323583603,1.4011098146438599
,0.0004850739236445125,629,,,,,,,,,,,
20,,629,,,,,,,1.0,0.44128113985061646,,,
,0.0004850739236445125,639,,,,,,,,,,,
20,,639,,,,,,,1.0,0.44535505771636963,,,
,0.0004850739236445125,649,,,,,,,,,,,
20,,649,,,,,,,1.0,0.43814218044281006,,,
20,,650,,,,,,,,,0.6682577729225159,0.263278990983963,1.4243407249450684
,0.0004819780040052801,659,,,,,,,,,,,
21,,659,,,,,,,0.984375,0.4552398920059204,,,
,0.0004819780040052801,669,,,,,,,,,,,
21,,669,,,,,,,1.0,0.4459157884120941,,,
,0.0004819780040052801,679,,,,,,,,,,,
21,,679,,,,,,,1.0,0.43495839834213257,,,
21,,681,,,,,,,,,0.6515513062477112,0.27935507893562317,1.397123098373413
,0.0004786025007665439,689,,,,,,,,,,,
22,,689,,,,,,,1.0,0.43019941449165344,,,
,0.0004786025007665439,699,,,,,,,,,,,
22,,699,,,,,,,1.0,0.432071715593338,,,
,0.0004786025007665439,709,,,,,,,,,,,
22,,709,,,,,,,1.0,0.4319330155849457,,,
22,,712,,,,,,,,,0.6539379358291626,0.2747803330421448,1.388170599937439
,0.00047495152645904404,719,,,,,,,,,,,
23,,719,,,,,,,1.0,0.43362438678741455,,,
,0.00047495152645904404,729,,,,,,,,,,,
23,,729,,,,,,,1.0,0.43278974294662476,,,
,0.00047495152645904404,739,,,,,,,,,,,
23,,739,,,,,,,1.0,0.4330349862575531,,,
23,,743,,,,,,,,,0.6539379358291626,0.2869539260864258,1.3599090576171875
,0.00047102952923258466,749,,,,,,,,,,,
24,,749,,,,,,,1.0,0.4349990487098694,,,
,0.00047102952923258466,759,,,,,,,,,,,
24,,759,,,,,,,1.0,0.4310722053050995,,,
,0.00047102952923258466,769,,,,,,,,,,,
24,,769,,,,,,,1.0,0.4389997124671936,,,
24,,774,,,,,,,,,0.6515513062477112,0.2519456148147583,1.362465500831604
,0.0004668412874366488,779,,,,,,,,,,,
25,,779,,,,,,,1.0,0.4325491189956665,,,
,0.0004668412874366488,789,,,,,,,,,,,
25,,789,,,,,,,1.0,0.43051764369010925,,,
,0.0004668412874366488,799,,,,,,,,,,,
25,,799,,,,,,,1.0,0.4321426749229431,,,
25,,805,,,,,,,,,0.656324565410614,0.28382137417793274,1.3617730140686035
,0.0004623919037987156,809,,,,,,,,,,,
26,,809,,,,,,,1.0,0.43048250675201416,,,
,0.0004623919037987156,819,,,,,,,,,,,
26,,819,,,,,,,1.0,0.4296126961708069,,,
,0.0004623919037987156,829,,,,,,,,,,,
26,,829,,,,,,,1.0,0.42836594581604004,,,
26,,836,,,,,,,,,0.6706444025039673,0.27520671486854553,1.3354036808013916
,0.000457686799207373,839,,,,,,,,,,,
27,,839,,,,,,,1.0,0.4293177127838135,,,
,0.000457686799207373,849,,,,,,,,,,,
27,,849,,,,,,,1.0,0.42851167917251587,,,
,0.000457686799207373,859,,,,,,,,,,,
27,,859,,,,,,,1.0,0.428548663854599,,,
27,,867,,,,,,,,,0.6610978245735168,0.3159613311290741,1.33903968334198
,0.00045273170610779967,869,,,,,,,,,,,
28,,869,,,,,,,1.0,0.4301359951496124,,,
,0.00045273170610779967,879,,,,,,,,,,,
28,,879,,,,,,,1.0,0.4289146065711975,,,
,0.00045273170610779967,889,,,,,,,,,,,
28,,889,,,,,,,1.0,0.4319579303264618,,,
28,,898,,,,,,,,,0.663484513759613,0.2747703790664673,1.3752532005310059
,0.0004475326615176639,899,,,,,,,,,,,
29,,899,,,,,,,1.0,0.4303564727306366,,,
,0.0004475326615176639,909,,,,,,,,,,,
29,,909,,,,,,,1.0,0.42878711223602295,,,
,0.0004475326615176639,919,,,,,,,,,,,
29,,919,,,,,,,1.0,0.43044236302375793,,,
,0.0004475326615176639,929,,,,,,,,,,,
29,,929,,,,,,,1.0,0.43128979206085205,,,
29,,929,,,,,,,,,0.6515513062477112,0.24898912012577057,1.3596925735473633
,0.0004420959996719472,939,,,,,,,,,,,
30,,939,,,,,,,1.0,0.4275467097759247,,,
,0.0004420959996719472,949,,,,,,,,,,,
30,,949,,,,,,,1.0,0.4300346374511719,,,
,0.0004420959996719472,959,,,,,,,,,,,
30,,959,,,,,,,1.0,0.43139803409576416,,,
30,,960,,,,,,,,,0.6682577729225159,0.27906131744384766,1.3391152620315552
,0.0004364283443056552,969,,,,,,,,,,,
31,,969,,,,,,,1.0,0.4316391050815582,,,
,0.0004364283443056552,979,,,,,,,,,,,
31,,979,,,,,,,1.0,0.42842692136764526,,,
,0.0004364283443056552,989,,,,,,,,,,,
31,,989,,,,,,,1.0,0.4282849431037903,,,
31,,991,,,,,,,,,0.6658711433410645,0.2741149961948395,1.3553926944732666
,0.00043053660058381627,999,,,,,,,,,,,
32,,999,,,,,,,1.0,0.43102753162384033,,,
,0.00043053660058381627,1009,,,,,,,,,,,
32,,1009,,,,,,,1.0,0.4289003312587738,,,
,0.00043053660058381627,1019,,,,,,,,,,,
32,,1019,,,,,,,1.0,0.43369200825691223,,,
32,,1022,,,,,,,,,0.6610978245735168,0.2538876533508301,1.3511024713516235
,0.0004244279466886019,1029,,,,,,,,,,,
33,,1029,,,,,,,1.0,0.4293874204158783,,,
,0.0004244279466886019,1039,,,,,,,,,,,
33,,1039,,,,,,,1.0,0.4290635585784912,,,
,0.0004244279466886019,1049,,,,,,,,,,,
33,,1049,,,,,,,1.0,0.42978036403656006,,,
33,,1053,,,,,,,,,0.6539379358291626,0.29717183113098145,1.3890480995178223
,0.00041810982507381754,1059,,,,,,,,,,,
34,,1059,,,,,,,1.0,0.4291289448738098,,,
,0.00041810982507381754,1069,,,,,,,,,,,
34,,1069,,,,,,,1.0,0.428810715675354,,,
,0.00041810982507381754,1079,,,,,,,,,,,
34,,1079,,,,,,,1.0,0.4322621822357178,,,
34,,1084,,,,,,,,,0.6587111949920654,0.25618717074394226,1.3838862180709839
,0.0004115899333974186,1089,,,,,,,,,,,
35,,1089,,,,,,,1.0,0.4307491183280945,,,
,0.0004115899333974186,1099,,,,,,,,,,,
35,,1099,,,,,,,1.0,0.4296479821205139,,,
,0.0004115899333974186,1109,,,,,,,,,,,
35,,1109,,,,,,,1.0,0.42951178550720215,,,
35,,1115,,,,,,,,,0.6610978245735168,0.2584037780761719,1.3553564548492432
,0.0004048762151431006,1119,,,,,,,,,,,
36,,1119,,,,,,,1.0,0.4290834665298462,,,
,0.0004048762151431006,1129,,,,,,,,,,,
36,,1129,,,,,,,1.0,0.426392138004303,,,
,0.0004048762151431006,1139,,,,,,,,,,,
36,,1139,,,,,,,1.0,0.42821186780929565,,,
36,,1146,,,,,,,,,0.6706444025039673,0.26411959528923035,1.354880928993225
,0.0003979768499423873,1149,,,,,,,,,,,
37,,1149,,,,,,,1.0,0.4300028681755066,,,
,0.0003979768499423873,1159,,,,,,,,,,,
37,,1159,,,,,,,1.0,0.42974498867988586,,,
,0.0003979768499423873,1169,,,,,,,,,,,
37,,1169,,,,,,,1.0,0.4282423257827759,,,
37,,1177,,,,,,,,,0.6587111949920654,0.2670672535896301,1.3646234273910522
,0.00039090024360901,1179,,,,,,,,,,,
38,,1179,,,,,,,1.0,0.4275580942630768,,,
,0.00039090024360901,1189,,,,,,,,,,,
38,,1189,,,,,,,1.0,0.42894792556762695,,,
,0.00039090024360901,1199,,,,,,,,,,,
38,,1199,,,,,,,1.0,0.42841899394989014,,,
38,,1208,,,,,,,,,0.6658711433410645,0.2546049952507019,1.379510760307312
,0.00038365501789771835,1209,,,,,,,,,,,
39,,1209,,,,,,,1.0,0.4273369610309601,,,
,0.00038365501789771835,1219,,,,,,,,,,,
39,,1219,,,,,,,1.0,0.42722028493881226,,,
,0.00038365501789771835,1229,,,,,,,,,,,
39,,1229,,,,,,,1.0,0.4292342960834503,,,
,0.00038365501789771835,1239,,,,,,,,,,,
39,,1239,,,,,,,1.0,0.42857348918914795,,,
39,,1239,,,,,,,,,0.6658711433410645,0.26642629504203796,1.3685892820358276
,0.0003762500000000001,1249,,,,,,,,,,,
40,,1249,,,,,,,1.0,0.42816656827926636,,,
,0.0003762500000000001,1259,,,,,,,,,,,
40,,1259,,,,,,,1.0,0.42746198177337646,,,
,0.0003762500000000001,1269,,,,,,,,,,,
40,,1269,,,,,,,1.0,0.4278598129749298,,,
40,,1270,,,,,,,,,0.6610978245735168,0.2585524320602417,1.3725866079330444
,0.00036869421178950805,1279,,,,,,,,,,,
41,,1279,,,,,,,1.0,0.42624711990356445,,,
,0.00036869421178950805,1289,,,,,,,,,,,
41,,1289,,,,,,,1.0,0.43065157532691956,,,
,0.00036869421178950805,1299,,,,,,,,,,,
41,,1299,,,,,,,1.0,0.42741870880126953,,,
41,,1301,,,,,,,,,0.6515513062477112,0.2853785455226898,1.3591539859771729
,0.00036099685883029674,1309,,,,,,,,,,,
42,,1309,,,,,,,1.0,0.4310860335826874,,,
,0.00036099685883029674,1319,,,,,,,,,,,
42,,1319,,,,,,,1.0,0.4292285144329071,,,
,0.00036099685883029674,1329,,,,,,,,,,,
42,,1329,,,,,,,1.0,0.4262169599533081,,,
42,,1332,,,,,,,,,0.6658711433410645,0.28434354066848755,1.343450903892517
,0.0003531673191612606,1339,,,,,,,,,,,
43,,1339,,,,,,,1.0,0.4281196594238281,,,
,0.0003531673191612606,1349,,,,,,,,,,,
43,,1349,,,,,,,1.0,0.4298083782196045,,,
,0.0003531673191612606,1359,,,,,,,,,,,
43,,1359,,,,,,,1.0,0.4279325008392334,,,
43,,1363,,,,,,,,,0.6658711433410645,0.27483007311820984,1.3691073656082153
,0.0003452151318704383,1369,,,,,,,,,,,
44,,1369,,,,,,,1.0,0.4289070963859558,,,
,0.0003452151318704383,1379,,,,,,,,,,,
44,,1379,,,,,,,1.0,0.43025317788124084,,,
,0.0003452151318704383,1389,,,,,,,,,,,
44,,1389,,,,,,,1.0,0.4276634454727173,,,
44,,1394,,,,,,,,,0.6610978245735168,0.2602437436580658,1.362998604774475
,0.0003371499854731031,1399,,,,,,,,,,,
45,,1399,,,,,,,1.0,0.42771780490875244,,,
,0.0003371499854731031,1409,,,,,,,,,,,
45,,1409,,,,,,,1.0,0.4265892207622528,,,
,0.0003371499854731031,1419,,,,,,,,,,,
45,,1419,,,,,,,1.0,0.4274634122848511,,,
45,,1425,,,,,,,,,0.6610978245735168,0.2674601376056671,1.3802671432495117
,0.00032898170610779956,1429,,,,,,,,,,,
46,,1429,,,,,,,1.0,0.4300640821456909,,,
,0.00032898170610779956,1439,,,,,,,,,,,
46,,1439,,,,,,,1.0,0.42785346508026123,,,
,0.00032898170610779956,1449,,,,,,,,,,,
46,,1449,,,,,,,1.0,0.4275696575641632,,,
46,,1456,,,,,,,,,0.663484513759613,0.2686905562877655,1.3820648193359375
,0.00032072024556470733,1459,,,,,,,,,,,
47,,1459,,,,,,,1.0,0.4272419810295105,,,
,0.00032072024556470733,1469,,,,,,,,,,,
47,,1469,,,,,,,1.0,0.42713111639022827,,,
,0.00032072024556470733,1479,,,,,,,,,,,
47,,1479,,,,,,,1.0,0.42834436893463135,,,
47,,1487,,,,,,,,,0.6706444025039673,0.267052561044693,1.3852676153182983
,0.0003123756691609178,1489,,,,,,,,,,,
48,,1489,,,,,,,1.0,0.4261521100997925,,,
,0.0003123756691609178,1499,,,,,,,,,,,
48,,1499,,,,,,,1.0,0.4275328516960144,,,
,0.0003123756691609178,1509,,,,,,,,,,,
48,,1509,,,,,,,1.0,0.4294315278530121,,,
48,,1518,,,,,,,,,0.6610978245735168,0.26490917801856995,1.387361764907837
,0.0003039581434773955,1519,,,,,,,,,,,
49,,1519,,,,,,,1.0,0.42726650834083557,,,
,0.0003039581434773955,1529,,,,,,,,,,,
49,,1529,,,,,,,1.0,0.4267808198928833,,,
,0.0003039581434773955,1539,,,,,,,,,,,
49,,1539,,,,,,,1.0,0.427163690328598,,,
,0.0003039581434773955,1549,,,,,,,,,,,
49,,1549,,,,,,,1.0,0.42738011479377747,,,
49,,1549,,,,,,,,,0.6730310320854187,0.2685014307498932,1.3834419250488281
,0.00029547792397256533,1559,,,,,,,,,,,
50,,1559,,,,,,,1.0,0.428129106760025,,,
,0.00029547792397256533,1569,,,,,,,,,,,
50,,1569,,,,,,,1.0,0.4272840619087219,,,
,0.00029547792397256533,1579,,,,,,,,,,,
50,,1579,,,,,,,1.0,0.42617741227149963,,,
50,,1580,,,,,,,,,0.6682577729225159,0.2687780559062958,1.3749979734420776
,0.00028694534248761627,1589,,,,,,,,,,,
51,,1589,,,,,,,1.0,0.42726755142211914,,,
,0.00028694534248761627,1599,,,,,,,,,,,
51,,1599,,,,,,,1.0,0.42698246240615845,,,
,0.00028694534248761627,1609,,,,,,,,,,,
51,,1609,,,,,,,1.0,0.4279266595840454,,,
51,,1611,,,,,,,,,0.6682577729225159,0.2689814865589142,1.3738818168640137
52,,1612,0.6000000238418579,0.6510069966316223,0.25524207949638367,0.22437649965286255,1.4891310930252075,0.21720488369464874,,,,,
