epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_cmd,test_loss,test_macro_f1,train_acc,train_cmd,train_loss,val_acc,val_bal_acc,val_cmd,val_loss
,5e-05,9,,,,,,,,,,,,,,
0,,9,,,,,,,,0.328125,0.05499480664730072,1.7849668264389038,,,,
,5e-05,19,,,,,,,,,,,,,,
0,,19,,,,,,,,0.640625,0.05503832921385765,1.7234599590301514,,,,
,5e-05,29,,,,,,,,,,,,,,
0,,29,,,,,,,,0.671875,0.05806025117635727,1.6454987525939941,,,,
0,,30,,,,,,,,,,,0.6682577729225159,0.18703262507915497,0.05806901678442955,1.6305996179580688
,9.5e-05,39,,,,,,,,,,,,,,
1,,39,,,,,,,,0.640625,0.06548676639795303,1.53473961353302,,,,
,9.5e-05,49,,,,,,,,,,,,,,
1,,49,,,,,,,,0.59375,0.08252580463886261,1.4419151544570923,,,,
,9.5e-05,59,,,,,,,,,,,,,,
1,,59,,,,,,,,0.6875,0.09811928868293762,1.2776851654052734,,,,
1,,61,,,,,,,,,,,0.6682577729225159,0.18703262507915497,0.10394036024808884,1.2792739868164062
,0.00014000000000000001,69,,,,,,,,,,,,,,
2,,69,,,,,,,,0.625,0.11460454761981964,1.3260568380355835,,,,
,0.00014000000000000001,79,,,,,,,,,,,,,,
2,,79,,,,,,,,0.671875,0.12136399745941162,1.2000313997268677,,,,
,0.00014000000000000001,89,,,,,,,,,,,,,,
2,,89,,,,,,,,0.6875,0.11105132102966309,1.2845332622528076,,,,
2,,92,,,,,,,,,,,0.6682577729225159,0.18703262507915497,0.10226830840110779,1.205232858657837
,0.00018500000000000002,99,,,,,,,,,,,,,,
3,,99,,,,,,,,0.65625,0.09571883082389832,1.2560300827026367,,,,
,0.00018500000000000002,109,,,,,,,,,,,,,,
3,,109,,,,,,,,0.6875,0.08955323696136475,1.157099962234497,,,,
,0.00018500000000000002,119,,,,,,,,,,,,,,
3,,119,,,,,,,,0.765625,0.07533419132232666,1.0484925508499146,,,,
3,,123,,,,,,,,,,,0.6682577729225159,0.18703262507915497,0.07059241831302643,1.181960105895996
,0.00023000000000000003,129,,,,,,,,,,,,,,
4,,129,,,,,,,,0.734375,0.06469787657260895,1.0528557300567627,,,,
,0.00023000000000000003,139,,,,,,,,,,,,,,
4,,139,,,,,,,,0.671875,0.05467209219932556,1.1553361415863037,,,,
,0.00023000000000000003,149,,,,,,,,,,,,,,
4,,149,,,,,,,,0.640625,0.04757196456193924,1.210668683052063,,,,
4,,154,,,,,,,,,,,0.6682577729225159,0.18703262507915497,0.04486432299017906,1.1674113273620605
,0.000275,159,,,,,,,,,,,,,,
5,,159,,,,,,,,0.59375,0.04412868618965149,1.2372193336486816,,,,
,0.000275,169,,,,,,,,,,,,,,
5,,169,,,,,,,,0.640625,0.035867732018232346,1.2347590923309326,,,,
,0.000275,179,,,,,,,,,,,,,,
5,,179,,,,,,,,0.546875,0.026429494842886925,1.3086966276168823,,,,
5,,185,,,,,,,,,,,0.6730310320854187,0.19153663516044617,0.025861935690045357,1.155517816543579
,0.00032,189,,,,,,,,,,,,,,
6,,189,,,,,,,,0.703125,0.028542032465338707,1.061537265777588,,,,
,0.00032,199,,,,,,,,,,,,,,
6,,199,,,,,,,,0.609375,0.021939752623438835,1.247706413269043,,,,
,0.00032,209,,,,,,,,,,,,,,
6,,209,,,,,,,,0.609375,0.019383134320378304,1.2567952871322632,,,,
6,,216,,,,,,,,,,,0.6730310320854187,0.19153663516044617,0.01580827869474888,1.1429139375686646
,0.00036500000000000004,219,,,,,,,,,,,,,,
7,,219,,,,,,,,0.796875,0.015730230137705803,1.0219870805740356,,,,
,0.00036500000000000004,229,,,,,,,,,,,,,,
7,,229,,,,,,,,0.671875,0.015156527981162071,1.147370457649231,,,,
,0.00036500000000000004,239,,,,,,,,,,,,,,
7,,239,,,,,,,,0.734375,0.012720293365418911,1.073824167251587,,,,
7,,247,,,,,,,,,,,0.6778042912483215,0.20530098676681519,0.011598365381360054,1.129090666770935
,0.00041000000000000005,249,,,,,,,,,,,,,,
8,,249,,,,,,,,0.703125,0.01094152219593525,1.0811610221862793,,,,
,0.00041000000000000005,259,,,,,,,,,,,,,,
8,,259,,,,,,,,0.671875,0.013705629855394363,1.1167926788330078,,,,
,0.00041000000000000005,269,,,,,,,,,,,,,,
8,,269,,,,,,,,0.609375,0.007707405835390091,1.241438388824463,,,,
8,,278,,,,,,,,,,,0.6825775504112244,0.2186826765537262,0.007993551902472973,1.116483211517334
,0.0004550000000000001,279,,,,,,,,,,,,,,
9,,279,,,,,,,,0.671875,0.007764237001538277,1.0726637840270996,,,,
,0.0004550000000000001,289,,,,,,,,,,,,,,
9,,289,,,,,,,,0.65625,0.007635544054210186,1.1651980876922607,,,,
,0.0004550000000000001,299,,,,,,,,,,,,,,
9,,299,,,,,,,,0.671875,0.006063381209969521,1.0843408107757568,,,,
,0.0004550000000000001,309,,,,,,,,,,,,,,
9,,309,,,,,,,,0.6666666865348816,0.005728389602154493,1.1454678773880005,,,,
9,,309,,,,,,,,,,,0.6778042912483215,0.22278176248073578,0.006045117974281311,1.118566870689392
,0.0005,319,,,,,,,,,,,,,,
10,,319,,,,,,,,0.6875,0.005569166969507933,1.0562567710876465,,,,
,0.0005,329,,,,,,,,,,,,,,
10,,329,,,,,,,,0.671875,0.005594236776232719,1.0840352773666382,,,,
,0.0005,339,,,,,,,,,,,,,,
10,,339,,,,,,,,0.609375,0.006013344042003155,1.0864492654800415,,,,
10,,340,,,,,,,,,,,0.6754176616668701,0.2296416312456131,0.00621593464165926,1.120981216430664
,0.0004998492296872263,349,,,,,,,,,,,,,,
11,,349,,,,,,,,0.71875,0.006597492843866348,1.1543843746185303,,,,
,0.0004998492296872263,359,,,,,,,,,,,,,,
11,,359,,,,,,,,0.609375,0.0058990344405174255,1.3031022548675537,,,,
,0.0004998492296872263,369,,,,,,,,,,,,,,
11,,369,,,,,,,,0.75,0.004920857027173042,0.9910767674446106,,,,
11,,371,,,,,,,,,,,0.6778042912483215,0.2327771782875061,0.005700801964849234,1.1264798641204834
,0.0004993971024393066,379,,,,,,,,,,,,,,
12,,379,,,,,,,,0.75,0.0062894681468605995,0.9335469603538513,,,,
,0.0004993971024393066,389,,,,,,,,,,,,,,
12,,389,,,,,,,,0.6875,0.003957363311201334,1.0480788946151733,,,,
,0.0004993971024393066,399,,,,,,,,,,,,,,
12,,399,,,,,,,,0.609375,0.00445595383644104,1.1349730491638184,,,,
12,,402,,,,,,,,,,,0.6921241283416748,0.24375122785568237,0.005728532560169697,1.1558128595352173
,0.0004986441691036478,409,,,,,,,,,,,,,,
13,,409,,,,,,,,0.6875,0.004706103354692459,1.034104347229004,,,,
,0.0004986441691036478,419,,,,,,,,,,,,,,
