epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_macro_f1,train_acc,train_loss,val_acc,val_bal_acc,val_loss
,0.0004945915311816171,499,,,,,,,,,,,
16,,499,,,,,,,0.921875,0.6316274404525757,,,
,0.0004945915311816171,509,,,,,,,,,,,
16,,509,,,,,,,0.9375,0.6099722385406494,,,
,0.0004945915311816171,519,,,,,,,,,,,
16,,519,,,,,,,0.890625,0.6298977732658386,,,
16,,526,,,,,,,,,0.6109785437583923,0.2349398285150528,1.531842827796936
,0.0004926481922533092,529,,,,,,,,,,,
17,,529,,,,,,,0.96875,0.5862390995025635,,,
,0.0004926481922533092,539,,,,,,,,,,,
17,,539,,,,,,,0.96875,0.5855017900466919,,,
,0.0004926481922533092,549,,,,,,,,,,,
17,,549,,,,,,,0.9375,0.5651289224624634,,,
17,,557,,,,,,,,,0.6181384325027466,0.24464745819568634,1.5826908349990845
,0.0004904122697447341,559,,,,,,,,,,,
18,,559,,,,,,,0.96875,0.5421731472015381,,,
,0.0004904122697447341,569,,,,,,,,,,,
18,,569,,,,,,,0.96875,0.560099720954895,,,
,0.0004904122697447341,579,,,,,,,,,,,
18,,579,,,,,,,0.921875,0.5548103451728821,,,
18,,588,,,,,,,,,0.5990453362464905,0.2200625091791153,1.6139694452285767
,0.00048788648778305075,589,,,,,,,,,,,
19,,589,,,,,,,0.984375,0.5072323679924011,,,
,0.00048788648778305075,599,,,,,,,,,,,
19,,599,,,,,,,0.984375,0.5096685886383057,,,
,0.00048788648778305075,609,,,,,,,,,,,
19,,609,,,,,,,0.921875,0.615799069404602,,,
,0.00048788648778305075,619,,,,,,,,,,,
19,,619,,,,,,,0.944444477558136,0.5679578185081482,,,
19,,619,,,,,,,,,0.6181384325027466,0.23856531083583832,1.6139527559280396
,0.0004850739236445125,629,,,,,,,,,,,
20,,629,,,,,,,1.0,0.47975999116897583,,,
,0.0004850739236445125,639,,,,,,,,,,,
20,,639,,,,,,,0.984375,0.5020713210105896,,,
,0.0004850739236445125,649,,,,,,,,,,,
20,,649,,,,,,,0.953125,0.5340675711631775,,,
20,,650,,,,,,,,,0.6038185954093933,0.2543879449367523,1.6595780849456787
,0.0004819780040052801,659,,,,,,,,,,,
21,,659,,,,,,,0.96875,0.5122409462928772,,,
,0.0004819780040052801,669,,,,,,,,,,,
21,,669,,,,,,,1.0,0.4833194613456726,,,
,0.0004819780040052801,679,,,,,,,,,,,
21,,679,,,,,,,0.984375,0.4987192153930664,,,
21,,681,,,,,,,,,0.5990453362464905,0.22687922418117523,1.6354631185531616
,0.0004786025007665439,689,,,,,,,,,,,
22,,689,,,,,,,0.96875,0.5075677633285522,,,
,0.0004786025007665439,699,,,,,,,,,,,
22,,699,,,,,,,1.0,0.49326539039611816,,,
,0.0004786025007665439,709,,,,,,,,,,,
22,,709,,,,,,,0.984375,0.5014985203742981,,,
22,,712,,,,,,,,,0.6038185954093933,0.2460220456123352,1.643707036972046
,0.00047495152645904404,719,,,,,,,,,,,
23,,719,,,,,,,1.0,0.4578394889831543,,,
,0.00047495152645904404,729,,,,,,,,,,,
23,,729,,,,,,,1.0,0.46530333161354065,,,
,0.00047495152645904404,739,,,,,,,,,,,
23,,739,,,,,,,1.0,0.48980847001075745,,,
23,,743,,,,,,,,,0.6109785437583923,0.2416398525238037,1.6003583669662476
,0.00047102952923258466,749,,,,,,,,,,,
24,,749,,,,,,,1.0,0.4698030650615692,,,
,0.00047102952923258466,759,,,,,,,,,,,
24,,759,,,,,,,1.0,0.47159555554389954,,,
,0.00047102952923258466,769,,,,,,,,,,,
24,,769,,,,,,,1.0,0.4550056457519531,,,
24,,774,,,,,,,,,0.6062052249908447,0.23307721316814423,1.6228724718093872
,0.0004668412874366488,779,,,,,,,,,,,
25,,779,,,,,,,1.0,0.469199001789093,,,
,0.0004668412874366488,789,,,,,,,,,,,
25,,789,,,,,,,1.0,0.46258077025413513,,,
,0.0004668412874366488,799,,,,,,,,,,,
25,,799,,,,,,,1.0,0.45048588514328003,,,
25,,805,,,,,,,,,0.6062052249908447,0.24824492633342743,1.587048053741455
,0.0004623919037987156,809,,,,,,,,,,,
26,,809,,,,,,,1.0,0.46316981315612793,,,
,0.0004623919037987156,819,,,,,,,,,,,
26,,819,,,,,,,1.0,0.4615713357925415,,,
,0.0004623919037987156,829,,,,,,,,,,,
26,,829,,,,,,,1.0,0.4679487943649292,,,
26,,836,,,,,,,,,0.620525062084198,0.2251206934452057,1.5789399147033691
,0.000457686799207373,839,,,,,,,,,,,
27,,839,,,,,,,1.0,0.4469453692436218,,,
,0.000457686799207373,849,,,,,,,,,,,
27,,849,,,,,,,1.0,0.45297467708587646,,,
,0.000457686799207373,859,,,,,,,,,,,
27,,859,,,,,,,1.0,0.44924288988113403,,,
27,,867,,,,,,,,,0.6276849508285522,0.22707727551460266,1.5482667684555054
,0.00045273170610779967,869,,,,,,,,,,,
28,,869,,,,,,,1.0,0.44446897506713867,,,
,0.00045273170610779967,879,,,,,,,,,,,
28,,879,,,,,,,1.0,0.4489586353302002,,,
,0.00045273170610779967,889,,,,,,,,,,,
28,,889,,,,,,,1.0,0.4458477199077606,,,
28,,898,,,,,,,,,0.6300715804100037,0.23631823062896729,1.5157012939453125
,0.0004475326615176639,899,,,,,,,,,,,
29,,899,,,,,,,1.0,0.44707822799682617,,,
,0.0004475326615176639,909,,,,,,,,,,,
29,,909,,,,,,,1.0,0.44795119762420654,,,
,0.0004475326615176639,919,,,,,,,,,,,
29,,919,,,,,,,1.0,0.4501320719718933,,,
,0.0004475326615176639,929,,,,,,,,,,,
29,,929,,,,,,,1.0,0.4485847055912018,,,
29,,929,,,,,,,,,0.6372315287590027,0.23550215363502502,1.5032083988189697
,0.0004420959996719472,939,,,,,,,,,,,
30,,939,,,,,,,1.0,0.4559463560581207,,,
